model,perturbation,level,rank1
svm,gaussian_blur,mild,0.8667
svm,gaussian_blur,moderate,0.4
svm,gaussian_blur,severe,0.225
svm,gaussian_noise,mild,0.9333
svm,gaussian_noise,moderate,0.9083
svm,gaussian_noise,severe,0.85
svm,rotation,mild,0.35
svm,rotation,moderate,0.2333
svm,rotation,severe,0.1917
svm,brightness_gain,mild,0.9583
svm,brightness_gain,moderate,0.9583
svm,brightness_gain,severe,0.9417
svm,resolution_scale,mild,0.8417
svm,resolution_scale,moderate,0.6583
svm,resolution_scale,severe,0.4417
squeezenet,gaussian_blur,mild,0.9917
squeezenet,gaussian_blur,moderate,0.5
squeezenet,gaussian_blur,severe,0.35
squeezenet,gaussian_noise,mild,1.0
squeezenet,gaussian_noise,moderate,1.0
squeezenet,gaussian_noise,severe,1.0
squeezenet,rotation,mild,0.9667
squeezenet,rotation,moderate,0.9833
squeezenet,rotation,severe,0.8583
squeezenet,brightness_gain,mild,1.0
squeezenet,brightness_gain,moderate,1.0
squeezenet,brightness_gain,severe,1.0
squeezenet,resolution_scale,mild,1.0
squeezenet,resolution_scale,moderate,0.85
squeezenet,resolution_scale,severe,0.525
